,Country,2008,2010,2012,2014,2016,Rank,Continent
0,ARUBA,1.7280000000000002,1.704,1.68,1.6569999999999998,1.84,146,
1,AFGHANISTAN,6.218,5.746,5.272,4.843,5.22,10,ASIA
2,ANGOLA,6.559,6.416,6.251,6.08,5.31,9,AFRICA
3,ALBANIA,1.625,1.663,1.735,1.784,1.51,197,EUROPE
4,ANDORRA,1.25,1.27,0.0,0.0,1.39,212,EUROPE
5,ARAB WORLD,3.4360444365300005,3.4357208583200003,3.4227289091000004,3.37274323141,,,
6,UNITED ARAB EMIRATES,1.9480000000000002,1.868,1.82,1.784,2.33,86,ASIA
7,ARGENTINA,2.396,2.37,2.347,2.322,2.28,93,SOUTH AMERICA
8,ARMENIA,1.7069999999999999,1.6480000000000001,1.581,1.531,1.64,177,EUROPE
9,AMERICAN SAMOA,0.0,0.0,0.0,0.0,2.87,59,
10,ANTIGUA AND BARBUDA,2.164,2.13,2.102,2.075,2.01,118,NORTH AMERICA
11,AUSTRALIA,1.984,1.9280000000000002,1.921,1.8330000000000002,1.77,158,OCEANIA
12,AUSTRIA,1.42,1.44,1.44,1.47,1.47,202,EUROPE
13,AZERBAIJAN,1.9,1.92,2.0,1.97,1.9,138,EUROPE
14,BURUNDI,6.48,6.3020000000000005,6.122999999999999,5.9479999999999995,6.04,2,AFRICA
15,BELGIUM,1.85,1.86,1.79,1.74,1.78,153,EUROPE
16,BENIN,5.272,5.093999999999999,4.927,4.766,4.86,16,AFRICA
17,BURKINA FASO,6.0360000000000005,5.867000000000001,5.693,5.521,5.79,6,
18,BANGLADESH,2.449,2.332,2.245,2.175,2.19,98,ASIA
19,BULGARIA,1.56,1.57,1.5,1.53,1.46,203,EUROPE
20,BAHRAIN,2.229,2.142,2.095,2.056,1.77,157,ASIA
21,"BAHAMAS, THE",1.891,1.9040000000000001,1.893,1.8719999999999999,1.95,128,
22,BOSNIA AND HERZEGOVINA,1.27,1.288,1.28,1.263,1.28,219,EUROPE
23,BELARUS,1.4880000000000002,1.494,1.62,1.696,1.48,200,EUROPE
24,BELIZE,2.821,2.714,2.6430000000000002,2.5789999999999997,2.9,58,NORTH AMERICA
25,BERMUDA,1.77,1.76,1.59,1.63,1.94,129,
26,BOLIVIA,3.3480000000000003,3.2,3.073,2.968,2.68,69,SOUTH AMERICA
27,BRAZIL,1.8980000000000001,1.838,1.8119999999999998,1.79,1.76,160,SOUTH AMERICA
28,BARBADOS,1.7719999999999998,1.781,1.788,1.794,1.68,175,NORTH AMERICA
29,BRUNEI DARUSSALAM,1.9769999999999999,1.953,1.913,1.874,,,
30,BHUTAN,2.5340000000000003,2.331,2.1519999999999997,2.0269999999999997,1.93,130,ASIA
31,BOTSWANA,2.903,2.8930000000000002,2.8810000000000002,2.8360000000000003,2.3,91,AFRICA
32,CENTRAL AFRICAN REPUBLIC,4.8069999999999995,4.624,4.4510000000000005,4.2860000000000005,4.36,31,AFRICA
33,CANADA,1.6808,1.6269,1.6142,1.6,1.6,183,NORTH AMERICA
34,CENTRAL EUROPE AND THE BALTICS,1.4662136503,1.46504318299,1.41543412926,1.4348605894100002,,,
35,SWITZERLAND,1.48,1.52,1.52,1.54,1.55,190,EUROPE
36,CHANNEL ISLANDS,1.4240000000000002,1.436,1.4509999999999998,1.466,,,
37,CHILE,1.865,1.824,1.7890000000000001,1.761,1.81,150,SOUTH AMERICA
38,CHINA,1.531,1.5390000000000001,1.5490000000000002,1.5619999999999998,1.6,182,ASIA
39,COTE D'IVOIRE,5.337000000000001,5.231,5.121,5.001,3.46,46,
40,CAMEROON,5.166,5.0169999999999995,4.859,4.704,4.7,20,AFRICA
41,"CONGO, DEM. REP.",6.563,6.386,6.199,6.006,,,
42,"CONGO, REP.",5.052,5.02,4.961,4.869,,,
43,COLOMBIA,2.08,2.01,1.9480000000000002,1.8969999999999998,2.02,117,SOUTH AMERICA
44,COMOROS,4.87,4.755,4.628,4.49,3.47,45,AFRICA
45,CABO VERDE,2.5860000000000003,2.464,2.376,2.303,2.26,94,
46,COSTA RICA,1.979,1.922,1.8659999999999999,1.819,1.9,137,NORTH AMERICA
47,CARIBBEAN SMALL STATES,2.20717698133,2.1614517311099997,2.1167992562299998,2.07652755195,,,
48,CUBA,1.636,1.635,1.6280000000000001,1.615,1.71,172,NORTH AMERICA
49,CURACAO,2.2,2.2,2.2,2.0,2.06,109,
50,CAYMAN ISLANDS,0.0,0.0,0.0,0.0,1.85,145,
51,CYPRUS,1.496,1.4809999999999999,1.464,1.446,1.47,201,EUROPE
52,CZECH REPUBLIC,1.51,1.51,1.45,1.53,,,EUROPE
53,GERMANY,1.38,1.39,1.41,1.47,1.44,205,EUROPE
54,DJIBOUTI,3.653,3.484,3.332,3.195,2.35,85,AFRICA
55,DOMINICA,0.0,0.0,0.0,0.0,2.04,111,NORTH AMERICA
56,DENMARK,1.89,1.87,1.73,1.69,1.73,166,EUROPE
57,DOMINICAN REPUBLIC,2.656,2.597,2.539,2.48,2.31,90,NORTH AMERICA
58,ALGERIA,2.7439999999999998,2.873,2.909,2.8569999999999998,2.74,67,AFRICA
59,EAST ASIA & PACIFIC (EXCLUDING HIGH INCOME),1.8054995153599998,1.8073306501900002,1.8104436693400001,1.81445569838,,,
60,EARLY-DEMOGRAPHIC DIVIDEND,2.85865193163,2.7677528597600003,2.6864851565,2.617091751,,,
61,EAST ASIA & PACIFIC,1.76997298841,1.7733044382299998,1.7796945110599998,1.78067250931,,,
62,EUROPE & CENTRAL ASIA (EXCLUDING HIGH INCOME),1.8357378927799999,1.8402872879299998,1.8877415491900003,1.9318024148900002,,,
63,EUROPE & CENTRAL ASIA,1.7189965229400004,1.7232358949000002,1.73250281026,1.7471654285099998,,,
64,ECUADOR,2.71,2.656,2.5989999999999998,2.542,2.22,96,SOUTH AMERICA
65,"EGYPT, ARAB REP.",3.055,3.1839999999999997,3.306,3.338,,,
66,EURO AREA,1.58102868771,1.58053203873,1.5547183668200002,1.55498896033,,,
67,ERITREA,4.752,4.605,4.444,4.284,4.07,35,AFRICA
68,SPAIN,1.45,1.37,1.32,1.32,1.49,199,EUROPE
69,ESTONIA,1.72,1.72,1.56,1.54,1.6,184,EUROPE
70,ETHIOPIA,5.194,4.9030000000000005,4.6419999999999995,4.395,5.07,14,AFRICA
71,EUROPEAN UNION,1.60976591334,1.61231738616,1.58342752167,1.5717401025400002,,,
72,FRAGILE AND CONFLICT AFFECTED SITUATIONS,4.80884994795,4.6783149322,4.550424049009999,4.42310666682,,,
73,FINLAND,1.85,1.87,1.8,1.71,1.75,162,EUROPE
74,FIJI,2.736,2.6689999999999996,2.615,2.5639999999999996,2.44,81,OCEANIA
75,FRANCE,2.01,2.03,2.01,2.01,2.07,108,EUROPE
76,FAROE ISLANDS,2.6,2.5,2.6,2.6,2.36,83,
77,"MICRONESIA, FED. STS.",3.589,3.46,3.347,3.2430000000000003,,,
