,Country,Continent
54,AFGHANISTAN,ASIA
98,ALBANIA,EUROPE
0,ALGERIA,AFRICA
99,ANDORRA,EUROPE
1,ANGOLA,AFRICA
145,ANTIGUA AND BARBUDA,NORTH AMERICA
182,ARGENTINA,SOUTH AMERICA
100,ARMENIA,EUROPE
168,AUSTRALIA,OCEANIA
101,AUSTRIA,EUROPE
102,AZERBAIJAN,EUROPE
146,BAHAMAS,NORTH AMERICA
55,BAHRAIN,ASIA
56,BANGLADESH,ASIA
147,BARBADOS,NORTH AMERICA
103,BELARUS,EUROPE
104,BELGIUM,EUROPE
148,BELIZE,NORTH AMERICA
2,BENIN,AFRICA
57,BHUTAN,ASIA
183,BOLIVIA,SOUTH AMERICA
105,BOSNIA AND HERZEGOVINA,EUROPE
3,BOTSWANA,AFRICA
184,BRAZIL,SOUTH AMERICA
58,BRUNEI,ASIA
106,BULGARIA,EUROPE
4,BURKINA,AFRICA
59,BURMA (MYANMAR),ASIA
5,BURUNDI,AFRICA
60,CAMBODIA,ASIA
6,CAMEROON,AFRICA
149,CANADA,NORTH AMERICA
7,CAPE VERDE,AFRICA
8,CENTRAL AFRICAN REPUBLIC,AFRICA
9,CHAD,AFRICA
185,CHILE,SOUTH AMERICA
61,CHINA,ASIA
186,COLOMBIA,SOUTH AMERICA
10,COMOROS,AFRICA
11,CONGO,AFRICA
12,"CONGO, DEMOCRATIC REPUBLIC OF",AFRICA
150,COSTA RICA,NORTH AMERICA
107,CROATIA,EUROPE
151,CUBA,NORTH AMERICA
108,CYPRUS,EUROPE
109,CZECH REPUBLIC,EUROPE
110,DENMARK,EUROPE
13,DJIBOUTI,AFRICA
152,DOMINICA,NORTH AMERICA
153,DOMINICAN REPUBLIC,NORTH AMERICA
62,EAST TIMOR,ASIA
187,ECUADOR,SOUTH AMERICA
14,EGYPT,AFRICA
154,EL SALVADOR,NORTH AMERICA
15,EQUATORIAL GUINEA,AFRICA
16,ERITREA,AFRICA
111,ESTONIA,EUROPE
17,ETHIOPIA,AFRICA
169,FIJI,OCEANIA
112,FINLAND,EUROPE
113,FRANCE,EUROPE
18,GABON,AFRICA
19,GAMBIA,AFRICA
114,GEORGIA,EUROPE
115,GERMANY,EUROPE
20,GHANA,AFRICA
116,GREECE,EUROPE
155,GRENADA,NORTH AMERICA
156,GUATEMALA,NORTH AMERICA
21,GUINEA,AFRICA
22,GUINEA-BISSAU,AFRICA
188,GUYANA,SOUTH AMERICA
157,HAITI,NORTH AMERICA
158,HONDURAS,NORTH AMERICA
117,HUNGARY,EUROPE
118,ICELAND,EUROPE
63,INDIA,ASIA
64,INDONESIA,ASIA
65,IRAN,ASIA
66,IRAQ,ASIA
119,IRELAND,EUROPE
67,ISRAEL,ASIA
120,ITALY,EUROPE
23,IVORY COAST,AFRICA
159,JAMAICA,NORTH AMERICA
68,JAPAN,ASIA
69,JORDAN,ASIA
70,KAZAKHSTAN,ASIA
24,KENYA,AFRICA
170,KIRIBATI,OCEANIA
71,"KOREA, DEM. PEOPLE’S REP.",ASIA
72,"KOREA, REP.",ASIA
73,KUWAIT,ASIA
74,KYRGYZSTAN,ASIA
75,LAOS,ASIA
121,LATVIA,EUROPE
76,LEBANON,ASIA
25,LESOTHO,AFRICA
26,LIBERIA,AFRICA
27,LIBYA,AFRICA
122,LIECHTENSTEIN,EUROPE
