,Country,2016
0,"KOREA, DEM. PEOPLE’S REP.",100.0
1,LATVIA,99.9
2,AZERBAIJAN,99.8
3,CUBA,99.8
4,ESTONIA,99.8
5,KAZAKHSTAN,99.8
6,LITHUANIA,99.8
7,BELARUS,99.7
8,GEORGIA,99.7
9,POLAND,99.7
10,SLOVENIA,99.7
11,TAJIKISTAN,99.7
12,UKRAINE,99.7
13,ARMENIA,99.6
14,PALAU,99.6
15,RUSSIAN FEDERATION,99.6
16,TURKMENISTAN,99.6
17,UZBEKISTAN,99.5
18,ANTIGUA AND BARBUDA,99.4
19,KYRGYZSTAN,99.4
20,TONGA,99.4
21,MOLDOVA,99.1
22,CAYMAN ISLANDS,99.0
23,CZECH REPUBLIC,99.0
24,HUNGARY,99.0
25,ITALY,99.0
26,CROATIA,98.9
27,MALDIVES,98.8
28,SAMOA,98.8
29,URUGUAY,98.8
30,CYPRUS,98.7
31,TRINIDAD AND TOBAGO,98.7
32,MONGOLIA,98.6
33,ROMANIA,98.5
34,ARGENTINA,98.1
35,BULGARIA,98.1
36,MONTENEGRO,98.0
37,COSTA RICA,97.8
38,ARUBA,97.5
39,BOSNIA AND HERZEGOVINA,97.5
40,SPAIN,97.5
41,CHILE,97.4
42,TAIWAN,97.3
43,SERBIA,97.2
44,ALBANIA,96.9
45,GREECE,96.9
46,ISRAEL,96.8
47,MACEDONIA,96.8
48,PHILIPPINES,96.8
49,QATAR,96.8
50,THAILAND,96.7
51,NEW CALEDONIA,96.5
52,VENEZUELA,96.2
53,KUWAIT,95.8
54,MALTA,95.8
55,UNITED ARAB EMIRATES,95.8
56,SINGAPORE,95.0
57,SURINAME,95.0
58,COLOMBIA,94.8
59,MACAU,94.6
60,BRUNEI,94.5
61,CHINA,94.5
62,PALESTINIAN TERRITORIES,94.5
63,PANAMA,94.4
64,PORTUGAL,94.4
65,MEXICO,94.2
66,PUERTO RICO,93.8
67,BOLIVIA,93.6
68,BAHRAIN,93.5
69,ECUADOR,93.5
70,MALAYSIA,93.2
71,JAMAICA,93.1
72,SOUTH AFRICA,93.1
73,EQUATORIAL GUINEA,93.0
74,BRAZIL,92.9
75,JORDAN,92.9
76,PARAGUAY,92.9
77,VIETNAM,92.8
78,DOMINICAN REPUBLIC,92.3
79,SEYCHELLES,92.3
80,LEBANON,91.8
81,TURKEY,91.8
82,PERU,91.7
83,SRI LANKA,91.7
84,INDONESIA,91.5
85,MYANMAR (BURMA),91.2
86,SAUDI ARABIA,91.1
87,GUYANA,89.8
88,BOTSWANA,88.9
89,HONDURAS,88.6
90,MAURITIUS,88.5
91,LESOTHO,88.3
92,KOSOVO,87.5
93,SWAZILAND,87.5
94,EL SALVADOR,86.0
95,LIBYA,85.6
96,OMAN,85.6
97,ZIMBABWE,84.6
98,NAMIBIA,84.5
99,VANUATU,83.8
100,NICARAGUA,83.2
101,BURUNDI,83.1
102,CAPE VERDE,83.1
103,IRAN,82.5
104,GABON,81.0
105,SYRIA,81.0
106,SOLOMON ISLANDS,79.2
107,GUATEMALA,76.3
108,KENYA,74.9
109,TUNISIA,74.2
110,COMOROS,73.7
111,IRAQ,73.7
112,ALGERIA,73.1
113,CONGO (REPUBLIC),72.9
114,LAOS,72.8
115,UGANDA,71.5
116,GHANA,71.4
117,CAMBODIA,70.5
118,CAMEROON,68.9
119,SUDAN,68.6
120,SÃO TOMÉ AND PRÍNCIPE,68.4
121,RWANDA,68.0
122,ERITREA,65.5
123,EGYPT,65.4
124,TANZANIA,65.4
125,EAST TIMOR,63.4
126,PAPUA NEW GUINEA,62.8
127,MADAGASCAR,62.6
128,ANGOLA,60.7
129,INDIA,60.6
130,MOROCCO,58.8
131,MALAWI,58.6
132,BANGLADESH,58.5
133,HAITI,57.3
134,ZAMBIA,56.0
135,TOGO,55.3
136,BHUTAN,55.0
137,YEMEN,55.0
138,NEPAL,53.1
139,CONGO (DEMOCRATIC REPUBLIC),50.0
140,NIGERIA,49.7
141,GUINEA-BISSAU,48.3
142,GAMBIA,47.6
143,SENEGAL,46.6
144,PAKISTAN,45.8
145,MOZAMBIQUE,45.4
146,MAURITANIA,41.6
147,ETHIOPIA,41.1
148,SIERRA LEONE,37.7
149,LIBERIA,32.8
150,CÔTE D'IVOIRE (IVORY COAST),32.5
151,CHAD,31.9
152,BURKINA FASO,29.3
153,MALI,29.2
154,BENIN,27.3
155,CENTRAL AFRICAN REPUBLIC,24.4
156,AFGHANISTAN,24.2
157,GUINEA,22.8
158,SOUTH SUDAN,16.0
159,NIGER,11.0
160,JAPAN,99.0
161,AUSTRALIA,99.0
162,"KOREA, REP.",0.0
163,UNITED STATES,99.0
164,UNITED KINGDOM,99.0
165,CANADA,99.0
166,BARBADOS,99.7
167,BELGIUM,99.0
168,DENMARK,99.0
169,FRANCE,99.0
170,GERMANY,99.0
171,IRELAND,99.0
172,MONACO,99.0
173,NETHERLANDS,99.0
174,NEW ZEALAND,99.0
175,NORWAY,99.0
176,SWEDEN,99.0
177,SWITZERLAND,99.0
178,MARSHALL ISLANDS,98.0
