,Country,2008,2010,2012,2014
0,ARUBA,-6.881302064,0.0,0.0,0.0
1,AFGHANISTAN,3.6113683919999997,8.433290482,14.43474129,1.312530908
2,ANGOLA,13.81714581,3.407654794,5.155440545,4.804472704
3,ALBANIA,7.529999988999999,3.709999994,1.4199999980000002,1.799999998
4,ANDORRA,-8.594256008,-5.347977181,-1.7600103280000001,0.0
5,ARAB WORLD,6.298524859,4.683150029,5.432919217,2.748396217
6,UNITED ARAB EMIRATES,3.191836271,1.635449055,6.792621627999999,3.079884331
7,ARGENTINA,4.057233102,10.12539816,-1.026420463,-2.512615326
8,ARMENIA,6.9000000020000005,2.199999999,7.2000000029999995,3.6
9,AMERICAN SAMOA,-2.613480055,0.442477876,-4.39238653,1.424050633
10,ANTIGUA AND BARBUDA,0.071111021,-7.142991335,3.8374687919999997,4.602793481
11,AUSTRALIA,3.706699506,2.018182144,3.632720303,2.4998512219999998
12,AUSTRIA,1.547263839,1.9286730559999998,0.7457560999999999,0.644844832
13,AZERBAIJAN,10.77242078,4.854339324,2.200000188,2.0
14,BURUNDI,5.0481187830000005,3.785902543,4.01936553,4.660918184
15,BELGIUM,0.747284182,2.6951446110000004,0.137051659,1.653110541
16,BENIN,4.893393918,2.1168501269999997,4.8102834130000005,6.357520953
17,BURKINA FASO,5.800005065,8.446325183999999,6.452674753999999,4.030336888
18,BANGLADESH,6.013789759,5.5718022739999995,6.521435078,6.061093054
19,BULGARIA,5.647005366,0.054557923,0.030943607999999997,1.328849722
20,BAHRAIN,6.245128341,4.334407088,3.72810843,4.350483603
21,"BAHAMAS, THE",-2.323937248,1.5387788530000002,3.0866567789999997,-0.524452896
22,BOSNIA AND HERZEGOVINA,5.48150787,0.7672542370000001,-0.9331875909999999,1.08187567
23,BELARUS,10.2,7.740781216,1.7313912230000001,1.7230860030000001
24,BELIZE,3.228494977,3.3219510139999997,3.740409207,4.083494924
25,BERMUDA,1.52789391,-2.094113534,-4.834540171,0.0
26,BOLIVIA,6.149207685,4.12858695,5.1223709930000005,5.458986151
27,BRAZIL,5.09434227,7.528223562000001,1.921150318,0.503961791
28,BARBADOS,0.39602217700000003,0.255754476,0.298399494,0.198484302
29,BRUNEI DARUSSALAM,-1.939714507,2.598965911,0.9128416709999999,-2.34974675
30,BHUTAN,4.7683542260000005,11.73085436,5.071709815,5.7454551679999994
31,BOTSWANA,6.2454374470000005,8.563631731000001,4.456167218,3.2049401669999997
32,CENTRAL AFRICAN REPUBLIC,2.054130962,3.0466347330000003,4.1127978689999996,1.040018047
