,Country,2008,2010,2012,2014
0,ARUBA,43.783,43.059,42.364,41.778999999999996
1,AFGHANISTAN,23.945999999999998,24.689,25.468000000000004,26.281999999999996
2,ANGOLA,38.509,40.097,41.699,43.273999999999994
3,ALBANIA,49.99100000000001,52.163000000000004,54.33,56.409
4,ANDORRA,88.867,87.81700000000001,86.708,85.633
5,ARAB WORLD,55.61067185,56.30340821,56.94706652,57.545993
6,UNITED ARAB EMIRATES,83.37700000000001,84.055,84.684,85.266
7,ARGENTINA,90.62200000000001,90.96600000000001,91.295,91.604
8,ARMENIA,63.997,63.58,63.161,62.812
9,AMERICAN SAMOA,87.79899999999999,87.594,87.413,87.264
10,ANTIGUA AND BARBUDA,27.406,26.239,25.135,24.19
11,AUSTRALIA,88.445,88.73299999999999,89.015,89.289
12,AUSTRIA,65.84100000000001,65.852,65.86399999999999,65.919
13,AZERBAIJAN,52.99,53.401,53.856,54.355
14,BURUNDI,10.118,10.640999999999998,11.189,11.761
15,BELGIUM,97.546,97.641,97.73200000000001,97.818
16,BENIN,41.078,41.854,42.667,43.513999999999996
17,BURKINA FASO,23.993000000000002,25.665,27.346,29.024
18,BANGLADESH,28.968000000000004,30.462,31.99,33.516
19,BULGARIA,71.622,72.30199999999999,72.971,73.626
20,BAHRAIN,88.46799999999999,88.535,88.619,88.719
21,"BAHAMAS, THE",82.44200000000001,82.54899999999999,82.667,82.801
22,BOSNIA AND HERZEGOVINA,39.161,39.226,39.378,39.616
23,BELARUS,73.726,74.615,75.467,76.277
24,BELIZE,45.501000000000005,44.963,44.496,44.123999999999995
25,BERMUDA,100.0,100.0,100.0,100.0
26,BOLIVIA,65.55,66.426,67.279,68.107
27,BRAZIL,83.749,84.335,84.90100000000001,85.43299999999999
28,BARBADOS,32.41,32.06,31.769000000000002,31.554000000000002
29,BRUNEI DARUSSALAM,74.74600000000001,75.51,76.223,76.887
30,BHUTAN,33.236,34.793,36.368,37.898
31,BOTSWANA,55.772,56.235,56.699,57.187
32,CENTRAL AFRICAN REPUBLIC,38.47,38.828,39.258,39.759
33,CANADA,80.578,80.937,81.293,81.65
34,CENTRAL EUROPE AND THE BALTICS,61.96499294,62.05941683,62.14184735,62.26928291
35,SWITZERLAND,73.58800000000001,73.663,73.73899999999999,73.844
36,CHANNEL ISLANDS,30.929000000000002,31.054000000000002,31.189,31.363000000000003
37,CHILE,88.155,88.586,88.986,89.35600000000001
38,CHINA,46.538999999999994,49.226000000000006,51.888999999999996,54.41
39,COTE D'IVOIRE,49.034,50.556999999999995,52.041000000000004,53.479
40,CAMEROON,50.336999999999996,51.516000000000005,52.677,53.818999999999996
41,"CONGO, DEM. REP.",38.941,39.937,40.95,41.976000000000006
42,"CONGO, REP.",62.341,63.228,64.1,64.957
43,COLOMBIA,74.46,75.036,75.60300000000001,76.161
44,COMOROS,27.86,27.918000000000003,28.029,28.193
45,CABO VERDE,60.193999999999996,61.833,63.388999999999996,64.84
46,COSTA RICA,69.387,71.734,73.94,75.915
47,CARIBBEAN SMALL STATES,41.84029818,41.91145004,42.03317375,42.19370656
48,CUBA,76.413,76.597,76.781,76.97
49,CURACAO,90.161,89.905,89.652,89.43
50,CAYMAN ISLANDS,100.0,100.0,100.0,100.0
51,CYPRUS,67.839,67.551,67.26100000000001,67.01899999999999
52,CZECH REPUBLIC,73.39399999999999,73.255,73.115,73.01899999999999
53,GERMANY,73.895,74.291,74.688,75.094
54,DJIBOUTI,76.899,76.99600000000001,77.117,77.262
55,DOMINICA,67.502,68.094,68.681,69.256
56,DENMARK,86.48700000000001,86.795,87.14200000000001,87.50200000000001
57,DOMINICAN REPUBLIC,71.297,73.752,76.039,78.061
58,ALGERIA,66.097,67.52600000000001,68.87,70.12899999999999
59,EAST ASIA & PACIFIC (EXCLUDING HIGH INCOME),45.49104158,47.70193098,49.88230006,51.95018457
60,EARLY-DEMOGRAPHIC DIVIDEND,41.32245932,42.11368077,42.91464923,43.72826343
61,EAST ASIA & PACIFIC,49.72790495,51.79825006,53.81898393,55.72148084
62,EUROPE & CENTRAL ASIA (EXCLUDING HIGH INCOME),64.13790525,64.35695983,64.61722466,64.92615108
63,EUROPE & CENTRAL ASIA,69.67744613,70.00715877,70.33788534,70.68657698
64,ECUADOR,62.3,62.69,63.088,63.516000000000005
65,"EGYPT, ARAB REP.",43.058,43.019,43.001999999999995,43.068999999999996
66,EURO AREA,74.35046759,74.81737443,75.27969820000001,75.70032564
67,ERITREA,19.854,20.572,0.0,0.0
68,SPAIN,77.976,78.442,78.902,79.355
69,ESTONIA,68.351,68.094,67.835,67.622
70,ETHIOPIA,16.51,17.319000000000003,18.16,19.028
71,EUROPEAN UNION,73.26420038,73.71486754,74.15581372,74.57668690000001
72,FRAGILE AND CONFLICT AFFECTED SITUATIONS,38.07887595,38.85599292,39.63361877,40.42268663
73,FINLAND,83.29899999999999,83.55799999999999,83.819,84.086
74,FIJI,51.051,51.828,52.596000000000004,53.354
75,FRANCE,77.86399999999999,78.345,78.82,79.289
76,FAROE ISLANDS,40.536,40.926,41.323,41.743
77,"MICRONESIA, FED. STS.",22.311,22.298000000000002,22.316999999999997,22.378
78,GABON,84.896,85.697,86.367,86.92
79,UNITED KINGDOM,80.757,81.30199999999999,81.834,82.345
80,GEORGIA,52.625,52.869,53.162,53.468
81,GHANA,49.351000000000006,50.713,52.068999999999996,53.391999999999996
82,GIBRALTAR,100.0,100.0,100.0,100.0
83,GUINEA,34.005,34.856,35.748000000000005,36.68
84,"GAMBIA, THE",54.788999999999994,56.297,57.706,59.015
85,GUINEA-BISSAU,43.468,45.221000000000004,46.924,48.55
86,EQUATORIAL GUINEA,39.037,39.223,39.463,39.756
87,GREECE,75.568,76.292,77.0,77.678
88,GRENADA,35.775,35.681,35.601,35.58
89,GREENLAND,83.787,84.383,85.2,86.045
90,GUATEMALA,48.449,49.323,50.211999999999996,51.115
91,GUAM,93.916,94.09899999999999,94.273,94.43700000000001
92,GUYANA,28.218000000000004,28.239,28.319000000000003,28.459
93,HIGH INCOME,79.39689221,79.93990357,80.44809811,80.89741275
94,"HONG KONG SAR, CHINA",100.0,100.0,100.0,100.0
95,HONDURAS,50.438,51.696000000000005,52.93,54.137
96,HEAVILY INDEBTED POOR COUNTRIES (HIPC),31.48704341,32.35304292,33.23464766,34.13133211
97,CROATIA,57.048,57.537,58.074,58.656000000000006
98,HAITI,48.98,52.016000000000005,54.841,57.43600000000001
99,HUNGARY,67.87,68.859,69.832,70.771
100,IBRD ONLY,49.15406021,50.45151476,51.74514729,52.996219599999996
101,IDA & IBRD TOTAL,44.87286703,46.01723596,47.15567796,48.26153038
102,IDA TOTAL,32.16538684,33.170489399999994,34.17269934,35.18124339
103,IDA BLEND,36.98847169,38.10960413,39.25095216,40.40517677
104,INDONESIA,48.327,49.924,51.488,53.003
105,IDA ONLY,29.48778898,30.44318612,31.38000068,32.32036171
106,ISLE OF MAN,51.958,51.994,52.042,52.138000000000005
107,INDIA,30.246,30.93,31.631,32.366
108,NOT CLASSIFIED,0.0,0.0,0.0,0.0
109,IRELAND,61.298,61.84,62.386,62.952
110,"IRAN, ISLAMIC REP.",69.458,70.626,71.76899999999999,72.855
111,IRAQ,68.92699999999999,69.03399999999999,69.175,69.361
112,ICELAND,93.395,93.624,93.84,94.042
113,ISRAEL,91.70200000000001,91.824,91.949,92.07600000000001
114,ITALY,68.092,68.327,68.56,68.821
115,JAMAICA,53.371,53.743,54.126999999999995,54.556000000000004
116,JORDAN,81.964,82.473,82.97,83.447
117,JAPAN,88.90899999999999,90.522,91.902,93.021
118,KAZAKHSTAN,54.111000000000004,53.732,53.458,53.29
119,KENYA,22.8,23.570999999999998,24.37,25.197
120,KYRGYZ REPUBLIC,35.285,35.303000000000004,35.403,35.585
121,CAMBODIA,19.533,19.81,20.137,20.514
122,KIRIBATI,43.647,43.773,43.948,44.173
123,ST. KITTS AND NEVIS,31.845,31.805999999999997,31.844,31.96
124,"KOREA, REP.",81.733,81.936,82.141,82.36
125,KUWAIT,98.23200000000001,98.26299999999999,98.294,98.32600000000001
126,LATIN AMERICA & CARIBBEAN (EXCLUDING HIGH INCOME),77.55302632,78.17048553,78.77012375,79.34301022
127,LAO PDR,30.839000000000002,33.123000000000005,35.368,37.551
128,LEBANON,86.94200000000001,87.18299999999999,87.426,87.67
129,LIBERIA,47.088,47.801,48.541000000000004,49.308
130,LIBYA,77.324,77.642,77.988,78.359
131,ST. LUCIA,20.131,18.45,18.45,18.477
132,LATIN AMERICA & CARIBBEAN,77.8745838,78.47388839,79.05496633,79.61042976
133,LEAST DEVELOPED COUNTRIES: UN CLASSIFICATION,27.97722729,28.97515827,29.99098176,31.01835506
134,LOW INCOME,27.93709253,28.70404862,29.49751991,30.31799818
135,LIECHTENSTEIN,14.574000000000002,14.464,14.365,14.305
136,SRI LANKA,18.345,18.320999999999998,18.297,18.32
137,LOWER MIDDLE INCOME,35.93643824,36.7741316,37.62906772,38.50804853
138,LOW & MIDDLE INCOME,44.75169922,45.90437084,47.05103878,48.16431788
139,LESOTHO,23.774,24.753,25.76,26.789
140,LATE-DEMOGRAPHIC DIVIDEND,53.28267922,55.24402603,57.17606352,59.00420183
141,LITHUANIA,66.848,66.757,66.604,66.52199999999999
142,LUXEMBOURG,87.8,88.54700000000001,89.24700000000001,89.87200000000001
143,LATVIA,67.834,67.692,67.548,67.421
144,"MACAO SAR, CHINA",100.0,100.0,100.0,100.0
145,ST. MARTIN (FRENCH PART),0.0,0.0,0.0,0.0
146,MOROCCO,56.665,57.684,58.696999999999996,59.699
147,MONACO,100.0,100.0,100.0,100.0
148,MOLDOVA,45.011,44.886,44.857,44.925
149,MADAGASCAR,30.67,31.929000000000002,33.196,34.468
150,MALDIVES,37.553000000000004,39.984,42.303000000000004,44.494
151,MIDDLE EAST & NORTH AFRICA,61.72970193,62.50263533,63.22589424,63.902107799999996
152,MEXICO,77.227,77.825,78.407,78.971
153,MARSHALL ISLANDS,70.778,71.343,71.891,72.42399999999999
154,MIDDLE INCOME,46.49370596,47.74271167,48.98746832,50.19619417
155,"MACEDONIA, FYR",57.129,56.992,56.958999999999996,57.028999999999996
156,MALI,34.403,35.996,37.579,39.143
157,MALTA,94.295,94.665,94.991,95.277
158,MYANMAR,30.363000000000003,31.405,32.469,33.551
159,MIDDLE EAST & NORTH AFRICA (EXCLUDING HIGH INCOME),58.21264898,58.85897267,59.52509728,60.19166721
160,MONTENEGRO,62.739,63.096000000000004,63.457,63.832
161,MONGOLIA,65.581,67.567,69.472,71.222
162,NORTHERN MARIANA ISLANDS,89.605,89.47399999999999,89.36,89.272
163,MOZAMBIQUE,30.548000000000002,30.955,31.416999999999998,31.934
164,MAURITANIA,55.303000000000004,56.681999999999995,58.0,59.255
165,MAURITIUS,40.995,40.579,40.164,39.814
166,MALAWI,15.325999999999999,15.54,15.798,16.102
167,MALAYSIA,69.225,70.91199999999999,72.52600000000001,74.01
168,NORTH AMERICA,80.45557911,80.79198465,81.12993356,81.47076209999999
169,NAMIBIA,39.597,41.61600000000001,43.666000000000004,45.678000000000004
170,NEW CALEDONIA,65.969,67.273,68.509,69.663
171,NIGER,17.185,17.559,17.986,18.469
172,NIGERIA,41.702,43.48,45.233999999999995,46.942
173,NICARAGUA,56.701,57.255,57.841,58.458999999999996
174,NETHERLANDS,85.402,87.061,88.575,89.91
175,NORWAY,78.52600000000001,79.102,79.665,80.208
176,NEPAL,16.15,16.822,17.518,18.243
177,NAURU,100.0,100.0,100.0,100.0
178,NEW ZEALAND,86.13,86.165,86.2,86.251
179,OECD MEMBERS,78.43197781,78.99862342,79.53030635,80.01547901
180,OMAN,74.08,75.161,76.204,77.178
181,OTHER SMALL STATES,54.62861621,56.02817622,57.02530901,57.79457011
182,PAKISTAN,35.816,36.598,37.428000000000004,38.303000000000004
183,PANAMA,64.54,65.115,65.69800000000001,66.292
184,PERU,76.182,76.915,77.616,78.285
185,PHILIPPINES,45.793,45.255,44.81,44.488
186,PALAU,81.367,83.35799999999999,85.039,86.45200000000001
187,PAPUA NEW GUINEA,13.055,13.019,12.982000000000001,12.985
188,POLAND,61.11600000000001,60.891999999999996,60.688,60.568000000000005
189,PRE-DEMOGRAPHIC DIVIDEND,35.03163427,36.02871665,37.04812544,38.07883012
190,PUERTO RICO,93.94200000000001,93.825,93.72200000000001,93.63600000000001
191,"KOREA, DEM. PEOPLE’S REP.",60.04,60.21,60.43600000000001,60.715
192,PORTUGAL,59.358999999999995,60.567,61.758,62.908
193,PARAGUAY,58.034,58.486999999999995,58.94,59.416000000000004
194,WEST BANK AND GAZA,73.704,74.13600000000001,74.577,75.02600000000001
195,PACIFIC ISLAND SMALL STATES,36.09848361,36.57668451,37.04885591,37.55223118
196,POST-DEMOGRAPHIC DIVIDEND,79.16837428,79.73026916,80.26486694,80.73967447
197,FRENCH POLYNESIA,56.738,56.479,56.218,55.976000000000006
198,QATAR,98.26100000000001,98.655,98.946,99.15899999999999
199,ROMANIA,53.567,53.82899999999999,54.091,54.393
200,RUSSIAN FEDERATION,73.598,73.687,73.786,73.92399999999999
201,RWANDA,22.033,23.951999999999998,25.894000000000002,27.840999999999998
202,SOUTH ASIA,30.21417853,30.986241200000002,31.77908415,32.60337557
203,SAUDI ARABIA,81.649,82.084,82.51,82.926
204,SUDAN,32.919000000000004,33.08,33.315,33.623000000000005
205,SENEGAL,41.74,42.23,42.781000000000006,43.393
206,SINGAPORE,100.0,100.0,100.0,100.0
207,SOLOMON ISLANDS,19.137999999999998,20.048,20.964000000000002,21.875999999999998
208,SIERRA LEONE,37.645,38.241,38.885,39.578
209,EL SALVADOR,63.251999999999995,64.286,65.28699999999999,66.255
210,SAN MARINO,94.056,94.086,94.12299999999999,94.166
211,SOMALIA,36.394,37.259,38.153,39.078
212,SERBIA,55.11,55.208,55.306999999999995,55.455
213,SUB-SAHARAN AFRICA (EXCLUDING HIGH INCOME),34.26165978,35.23707453,36.2305471,37.23420335
214,SOUTH SUDAN,17.555,17.855,18.2,18.590999999999998
215,SUB-SAHARAN AFRICA,34.26350013,35.23882907,36.23214329,37.23573385
216,SMALL STATES,50.85915506,52.02245954,52.89181474,53.59459533
217,SAO TOME AND PRINCIPE,60.434,61.907,63.265,64.51100000000001
218,SURINAME,66.479,66.344,66.208,66.085
219,SLOVAK REPUBLIC,55.111000000000004,54.685,54.163000000000004,53.757
220,SLOVENIA,50.224,50.04,49.856,49.695
221,SWEDEN,84.74600000000001,85.056,85.363,85.665
222,SWAZILAND,21.67,21.491999999999997,21.374000000000002,21.315
223,SINT MAARTEN (DUTCH PART),100.0,100.0,100.0,100.0
224,SEYCHELLES,51.775,52.318999999999996,52.915,53.559
225,SYRIAN ARAB REPUBLIC,54.908,55.677,56.458999999999996,57.255
226,TURKS AND CAICOS ISLANDS,89.294,90.228,91.09,91.84700000000001
227,CHAD,21.901,21.983,22.129,22.340999999999998
228,EAST ASIA & PACIFIC (IDA & IBRD COUNTRIES),45.30563099,47.5430328,49.74863857,51.83956585
229,EUROPE & CENTRAL ASIA (IDA & IBRD COUNTRIES),63.80160666,63.98873977,64.21781047,64.49831511
230,TOGO,36.586999999999996,37.533,38.493,39.469
231,THAILAND,41.419,44.08,46.681999999999995,49.174
232,TAJIKISTAN,26.483,26.516,26.568,26.691999999999997
